Sr. No.,Round No.,Period,State,Age,Gender,Average Monthly Income,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead, View on Current Inflation Rate,View on Current Inflation Rate - actual rate for above 16%,View on 1 Year ahead Inflation Rate,View on 1 Year ahead Inflation Rate - actual rate for above 16%,Income Generating Agricultural Land
3877,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,5 and more,1,Daily Worker,Worsened,Will Worsen,Worsened,Will Worsen,Decreased,Will Decrease,Increased,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,6-<7%,,Yes
4103,23,May-2026,Andhra Pradesh,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,1 or 2,1,Salaried Employee,Worsened,Will Worsen,Improved,Will Worsen,Decreased,Will Decrease,Increased,Remain The Same,Decreased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,7-<8%,,10-<11%,,Yes
4104,23,May-2026,Andhra Pradesh,40 to 59 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,10th Std - Below 12th Std,3 or 4,1,Self Employed,Remained The Same,Will Improve,Improved,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,3-<4%,,5-<6%,,Yes
4105,23,May-2026,Andhra Pradesh,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Post Graduate,5 and more,2,Salaried Employee,Worsened,Will Worsen,Remained The Same,Will Worsen,Decreased,Will Decrease,Decreased,Will Decrease,Decreased,Will Decrease,Decreased,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,8-<9%,,9-<10%,,Yes
4106,23,May-2026,Andhra Pradesh,30 to 39 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,2,Daily Worker,Improved,Remain The Same,Improved,Will Improve,Remained The Same,Remain The Same,Increased,Remain The Same,Increased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,8-<9%,,No
4107,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,2,Daily Worker,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Decreased,Will Decrease,Increased,Will Decrease,Decreased,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,7-<8%,,No
4108,23,May-2026,Andhra Pradesh,40 to 59 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,1 or 2,1,Self Employed,Improved,Remain The Same,Remained The Same,Remain The Same,Decreased,Remain The Same,Remained The Same,Remain The Same,Increased,Will Decrease,Decreased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,4-<5%,,6-<7%,,No
4109,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Daily Worker,Improved,Will Improve,Improved,Will Improve,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Remained The Same,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,1-<2%,,2-<3%,,Yes
4110,23,May-2026,Andhra Pradesh,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Self Employed,Remained The Same,Will Worsen,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,9-<10%,,10-<11%,,No
4111,23,May-2026,Andhra Pradesh,30 to 39 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,3 or 4,2,Daily Worker,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,,,<1%,,<1%,,Yes
4112,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,Illiterate,3 or 4,3,Daily Worker,Worsened,Will Worsen,Worsened,Remain The Same,Decreased,Will Decrease,Increased,Will Increase,Increased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,3-<4%,,5-<6%,,No
4113,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,Below 5th Std,3 or 4,1,Daily Worker,Worsened,Will Worsen,Remained The Same,Remain The Same,Increased,Remain The Same,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,4-<5%,,8-<9%,,Yes
4114,23,May-2026,Andhra Pradesh,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,5 and more,2,Daily Worker,Improved,Will Improve,Improved,Will Improve,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,9-<10%,,No
4115,23,May-2026,Andhra Pradesh,60 years and above,Male,Less than Rs. 5 thousand,Illiterate,1 or 2,1,Daily Worker,Improved,Will Worsen,Worsened,Remain The Same,Remained The Same,Remain The Same,Increased,Remain The Same,Increased,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,9-<10%,,10-<11%,,No
4116,23,May-2026,Andhra Pradesh,21 to 29 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,5 and more,2,Homemaker,Improved,Remain The Same,Improved,Remain The Same,Remained The Same,Will Decrease,Decreased,Will Decrease,Increased,Will Decrease,Decreased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,6-<7%,,7-<8%,,Yes
4117,23,May-2026,Andhra Pradesh,60 years and above,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,5 and more,3,Self Employed,Remained The Same,Remain The Same,Remained The Same,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,9-<10%,,10-<11%,,Yes
4171,23,May-2026,Andhra Pradesh,60 years and above,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,1 or 2,1,"Others (Incl. Unemployed, students, etc.)",Remained The Same,Will Improve,Improved,Will Improve,Increased,Remain The Same,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,4-<5%,,Yes
4172,23,May-2026,Andhra Pradesh,30 to 39 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,12th Std,3 or 4,1,Homemaker,Remained The Same,Will Improve,Remained The Same,Remain The Same,Decreased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,9-<10%,,No
4173,23,May-2026,Andhra Pradesh,60 years and above,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Illiterate,1 or 2,1,Self Employed,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,2-<3%,,No
4174,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,3 or 4,1,Self Employed,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Remained The Same,Remain The Same,Remained The Same,Will Increase,Decreased,Remain The Same,Remained The Same,Remain The Same,,,<1%,,<1%,,No
4175,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,Below 5th Std,3 or 4,1,Daily Worker,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Remain The Same,Increased,Remain The Same,Decreased,Will Decrease,Increased,Remain The Same,Price Increased More Than Last Year,,4-<5%,,<1%,,No
4176,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Below 5th Std,3 or 4,2,Daily Worker,Remained The Same,Will Improve,Improved,Will Improve,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Decreased,Will Decrease,Increased,Remain The Same,Price Increased More Than Last Year,,3-<4%,,<1%,,No
4177,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,5 and more,3,Daily Worker,Remained The Same,Will Worsen,Improved,Will Improve,Decreased,Will Increase,Decreased,Remain The Same,Decreased,Will Decrease,Decreased,Will Increase,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,2-<3%,,No
4274,23,May-2026,Andhra Pradesh,30 to 39 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,Below 5th Std,1 or 2,2,Salaried Employee,Improved,Will Improve,Improved,Will Improve,Increased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,1-<2%,,2-<3%,,No
4275,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,5 and more,1,Self Employed,Improved,Will Improve,Worsened,Will Worsen,Remained The Same,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Decreased,Will Decrease,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,8-<9%,,No
4276,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Below 5th Std,5 and more,1,Daily Worker,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Decreased,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,1-<2%,,1-<2%,,No
4277,23,May-2026,Andhra Pradesh,21 to 29 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,Graduate,3 or 4,1,Salaried Employee,Worsened,Will Worsen,Remained The Same,Remain The Same,Decreased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,3-<4%,,5-<6%,,No
4278,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,3 or 4,1,Salaried Employee,Remained The Same,Will Improve,Remained The Same,Remain The Same,Decreased,Will Decrease,Increased,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,9-<10%,,No
4279,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Self Employed,Worsened,Will Worsen,Worsened,Will Improve,Decreased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,5-<6%,,5-<6%,,Yes
4280,23,May-2026,Andhra Pradesh,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,3 or 4,2,Salaried Employee,Improved,Remain The Same,Remained The Same,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,6-<7%,,No
4281,23,May-2026,Andhra Pradesh,21 to 29 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,3,Salaried Employee,Improved,Will Worsen,Worsened,Will Worsen,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Decreased,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,6-<7%,,Yes
4282,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Salaried Employee,Worsened,Will Improve,Worsened,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,4-<5%,,4-<5%,,No
4283,23,May-2026,Andhra Pradesh,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Post Graduate,1 or 2,1,Self Employed,Remained The Same,Will Worsen,Worsened,Will Improve,Decreased,Will Increase,Decreased,Will Increase,Decreased,Will Increase,Decreased,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,11-<12%,,No
4284,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,5 and more,1,Salaried Employee,Improved,Will Improve,Remained The Same,Will Improve,Remained The Same,Remain The Same,Increased,Remain The Same,Increased,Will Increase,Decreased,Will Decrease,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,2-<3%,,4-<5%,,No
4285,23,May-2026,Andhra Pradesh,21 to 29 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,2,"Others (Incl. Unemployed, students, etc.)",Worsened,Remain The Same,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Price Increased More Than Last Year,,10-<11%,,<1%,,No
4286,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Self Employed,Remained The Same,Remain The Same,Worsened,Remain The Same,Decreased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,6-<7%,,7-<8%,,Yes
4287,23,May-2026,Andhra Pradesh,21 to 29 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,12th Std,3 or 4,1,Homemaker,Remained The Same,Will Improve,Remained The Same,Will Improve,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,>=16%,20,>=16%,20,Yes
4288,23,May-2026,Andhra Pradesh,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,3 or 4,1,"Others (Incl. Unemployed, students, etc.)",Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Decrease,Increased,Will Increase,Increased,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,4-<5%,,9-<10%,,No
4708,23,May-2026,Andhra Pradesh,40 to 59 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Homemaker,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Decreased,Will Decrease,,,<1%,,<1%,,No
4709,23,May-2026,Andhra Pradesh,30 to 39 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Homemaker,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Will Decrease,Increased,Will Decrease,Increased,Will Increase,Increased,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,7-<8%,,9-<10%,,No
4710,23,May-2026,Andhra Pradesh,30 to 39 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Homemaker,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Remain The Same,Increased,Will Increase,Decreased,Will Decrease,Remained The Same,Will Decrease,,,<1%,,<1%,,No
4711,23,May-2026,Andhra Pradesh,30 to 39 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,3 or 4,1,Salaried Employee,Worsened,Will Improve,Remained The Same,Will Worsen,Remained The Same,Remain The Same,Increased,Remain The Same,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Decrease,Price Increased Similar To Last Year,,5-<6%,,<1%,,No
4712,23,May-2026,Andhra Pradesh,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Post Graduate,3 or 4,2,Salaried Employee,Worsened,Will Improve,Remained The Same,Will Improve,Decreased,Will Decrease,Increased,Will Decrease,Increased,Will Decrease,Decreased,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,4-<5%,,6-<7%,,No
